,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,823.309998,823.309998,2017-01-27,841.950012,820.440002,834.710022,GOOG,2951800
1,832.150024,832.150024,2017-01-26,838.00,827.01001,837.809998,GOOG,2734400
2,835.669983,835.669983,2017-01-25,835.77002,825.059998,829.619995,GOOG,1494500
3,823.869995,823.869995,2017-01-24,825.900024,817.820984,822.299988,GOOG,1461000
4,819.309998,819.309998,2017-01-23,820.869995,803.73999,807.25,GOOG,1901600
5,805.02002,805.02002,2017-01-20,806.909973,801.690002,806.909973,GOOG,1645000
6,802.174988,802.174988,2017-01-19,809.47998,801.799988,805.119995,GOOG,912000
7,806.070007,806.070007,2017-01-18,806.205017,800.98999,805.809998,GOOG,1293300
8,804.609985,804.609985,2017-01-17,807.140015,800.369995,807.080017,GOOG,1355800
9,807.880005,807.880005,2017-01-13,811.223999,806.690002,807.47998,GOOG,1090100
10,806.359985,806.359985,2017-01-12,807.390015,799.169983,807.140015,GOOG,1351000
11,807.909973,807.909973,2017-01-11,808.150024,801.369995,805.00,GOOG,1057900
12,804.789978,804.789978,2017-01-10,809.130005,803.51001,807.859985,GOOG,1174300
13,806.650024,806.650024,2017-01-09,809.966003,802.830017,806.400024,GOOG,1272400
14,806.150024,806.150024,2017-01-06,807.900024,792.203979,795.26001,GOOG,1620500
15,794.02002,794.02002,2017-01-05,794.47998,785.02002,786.080017,GOOG,1315400
16,786.900024,786.900024,2017-01-04,791.340027,783.159973,788.359985,GOOG,1065400
17,786.140015,786.140015,2017-01-03,789.630005,775.799988,778.809998,GOOG,1643100
